Fall2014,9,2,2014,12,12,2014
Summer2014,6,16,2014,8,8,2014
Spring2014,1,21,2014,5,9,2014
Winter2014,1,6,2014,1,17,2014
Fall2013,9,3,2013,12,13,2013
Summer2013,6,10,2013,8,2,2013
Spring2013,1,22,2013,5,10,2013
Winter2013,1,7,2013,1,18,2013
Fall2012,9,4,2012,12,14,2012
Summer2012,6,12,2012,8,3,2012
Spring2012,1,23,2012,5,11,2012
Winter2012,1,4,2012,1,19,2012
Fall2011,9,6,2011,12,16,2011
Summer2011,6,13,2011,8,5,2011
Spring2011,1,24,2011,5,13,2011
Winter2011,1,6,2011,1,21,2011
Fall2010,9,2,2010,12,15,2010
Summer2010,6,7,2010,7,30,2010
Spring2010,1,19,2010,5,7,2010
Winter2010,1,4,2010,1,15,2010
Fall2009,9,1,2009,12,11,2009
Summer2009,6,1,2009,7,30,2009
Spring2009,1,20,2009,5,10,2009
Winter2009,1,3,2009,1,17,2009
Fall2008,9,2,2008,12,12,2008
Summer2008,6,1,2008,7,30,2008
Spring2008,1,20,2008,5,10,2008
Winter2008,1,3,2008,1,17,2008
Fall2007,9,2,2007,12,12,2007
Summer2007,6,1,2007,7,30,2007
Spring2007,1,20,2007,5,10,2007
Winter2007,1,3,2007,1,17,2007
Fall2006,9,2,2006,12,12,2006
Summer2006,6,1,2006,7,30,2006
Spring2006,1,20,2006,5,10,2006
Winter2006,1,3,2006,1,17,2006
Fall2005,9,2,2005,12,12,2005
Summer2005,6,1,2005,7,30,2005
Spring2005,1,20,2005,5,10,2005
Winter2005,1,3,2005,1,17,2005
Fall2004,9,2,2004,12,12,2004
Summer2004,6,1,2004,7,30,2004
Spring2004,1,20,2004,5,10,2004
Winter2004,1,3,2004,1,17,2004
Fall2003,9,2,2003,12,12,2003
Summer2003,6,1,2003,7,30,2003
Spring2003,1,20,2003,5,10,2003
Winter2003,1,3,2003,1,17,2003
Fall2002,9,2,2002,12,12,2002
Summer2002,6,1,2002,7,30,2002
Spring2002,1,20,2002,5,10,2002
Winter2002,1,3,2002,1,17,2002
Fall2001,9,2,2001,12,12,2001
Summer2001,6,1,2001,7,30,2001
Spring2001,1,20,2001,5,10,2001
Winter2001,1,3,2001,1,17,2001
Fall2000,9,2,2000,12,12,2000
Summer2000,6,1,2000,7,30,2000
Spring2000,1,20,2000,5,10,2000
Fall1999,9,2,1999,12,12,1999
Summer1999,6,1,1999,7,30,1999
Spring1999,1,20,1999,5,10,1999
